year,person,show,nameLen,winOrLose
1972,Robert Young,"Marcus Welby, M.D.",12,W
1972,Raymond Burr,Ironside,12,L
1972,Mike Connors,Mannix,12,L
1972,William Conrad,Cannon,14,L
1972,Peter Falk,Columbo,10,L
1972,Carroll O'Connor,All in the Family,16,W
1972,Herschel Bernardi,Arnie,17,L
1972,Jack Klugman,The Odd Couple,12,L
1972,Dick Van Dyke,The New Dick Van Dyke Show,13,L
1972,Flip Wilson,Flip,11,L
1972,Patricia Neal,The Waltons,13,W
1972,Lynda Day George,Mission: Impossible,16,L
1972,Peggy Lipton,The Mod Squad,12,L
1972,Denise Nicholas,Room 222,15,L
1972,Susan Saint James,McMillan & Wife,17,L
1972,Carol Burnett,The Carol Burnett Show,13,W
1972,Lucille Ball,Here's Lucy,12,L
1972,Shirley Jones,The Partridge Family,13,L
1972,Mary Tyler Moore,Mary Tyler Moore,16,L
1972,Jean Stapleton,All in the Family,14,L
1973,Peter Falk,Columbo,10,W
1973,Mike Connors,Mannix,12,L
1973,William Conrad,Cannon,14,L
1973,Chad Everett,Medical Center,12,L
1973,David Hartman,The Bold Ones: The New Doctors,13,L
1973,Robert Young,"Marcus Welby, M.D.",12,L
1973,Redd Foxx,Sanford and Son,9,W
1973,Alan Alda,M*A*S*H,9,L
1973,Bill Cosby,The New Bill Cosby Show,10,L
1973,Paul Lynde,The Paul Lynde Show,10,L
1973,Flip Wilson,Flip,11,L
1973,Carroll O'Connor,All in the Family,16,L
1973,Gail Fisher,Mannix,11,W
1973,Ellen Corby,The Waltons,11,L
1973,Anne Jeffreys,The Delphi Bureau,13,L
1973,Michael Learned,The Waltons,15,L
1973,Peggy Lipton,The Mod Squad,12,L
1973,Susan Saint James,McMillan & Wife,17,L
1973,Jean Stapleton,All in the Family,14,W
1973,Julie Andrews,The Julie Andrews Hour,13,L
1973,Bea Arthur,Maude,10,L
1973,Carol Burnett,The Carol Burnett Show,13,L
1973,Mary Tyler Moore,Mary Tyler Moore,16,L
1974,James Stewart,Hawkins,13,W
1974,Peter Falk,Columbo,10,L
1974,David Carradine,Kung Fu,15,L
1974,Mike Connors,Mannix,12,L
1974,Robert Young,"Marcus Welby, M.D.",12,L
1974,Richard Thomas,The Waltons,14,L
1974,Jack Klugman,The Odd Couple,12,W
1974,Carroll O'Connor,All in the Family,16,L
1974,Dom DeLuise,Lotsa Luck,11,L
1974,Alan Alda,M*A*S*H,9,L
1974,Redd Foxx,Sanford and Son,9,L
1974,Lee Remick,The Blue Knight,10,W
1974,Julie London,Emergency!,12,L
1974,Emily McLaughlin,General Hospital,16,L
1974,Susan Saint James,McMillan & Wife,17,L
1974,Michael Learned,The Waltons,15,L
1974,Jean Stapleton,All in the Family,14,W
1974,Cher,The Sonny and Cher Comedy Hour,4,L
1974,Carol Burnett,The Carol Burnett Show,13,L
1974,Mary Tyler Moore,Mary Tyler Moore,16,L
1974,Bea Arthur,Maude,10,L
1975,Telly Savalas,Kojak,13,W
1975,Michael Douglas,The Streets of San Francisco,15,L
1975,Peter Falk,Columbo,10,L
1975,Richard Thomas,The Waltons,14,L
1975,Mike Connors,Mannix,12,L
1975,Alan Alda,M*A*S*H,9,W
1975,Carroll O'Connor,All in the Family,16,L
1975,Bob Newhart,The Bob Newhart Show,11,L
1975,Edward Asner,Mary Tyler Moore,12,L
1975,Redd Foxx,Sanford and Son,9,L
1975,Angie Dickinson,Police Woman,15,W
1975,Michael Learned,The Waltons,15,L
1975,Teresa Graves,Get Christie Love!,13,L
1975,Lee Meriwether,Barnaby Jones,14,L
1975,Jean Marsh,"Upstairs, Downstairs",10,L
1975,Valerie Harper,Rhoda,14,W
1975,Jean Stapleton,All in the Family,14,L
1975,Mary Tyler Moore,Mary Tyler Moore,16,L
1975,Carol Burnett,The Carol Burnett Show,13,L
1975,Esther Rolle,Good Times,12,L
1976,Robert Blake,Baretta,12,W
1976,Telly Savalas,Kojak,13,L
1976,Karl Malden,The Streets of San Francisco,11,L
1976,Barry Newman,Petrocelli,12,L
1976,Peter Falk,Columbo,10,L
1976,Alan Alda,M*A*S*H,9,W
1976,Redd Foxx,Sanford and Son,9,L
1976,Hal Linden,Barney Miller,10,L
1976,Bob Newhart,The Bob Newhart Show,11,L
1976,Carroll O'Connor,All in the Family,16,L
1976,Johnny Carson,The Tonight Show Starring Johnny Carson,13,L
1976,Lee Remick,Jennie: Lady Randolph Churchill,10,W
1976,Lee Meriwether,Barnaby Jones,14,L
1976,Rosemary Harris,Notorious Woman,15,L
1976,Angie Dickinson,Police Woman,15,L
1976,Michael Learned,The Waltons,15,L
1976,Cloris Leachman,Phyllis,15,W
1976,Valerie Harper,Rhoda,14,L
1976,Carol Burnett,The Carol Burnett Show,13,L
1976,Mary Tyler Moore,Mary Tyler Moore,16,L
1976,Bea Arthur,Maude,10,L
1977,Richard Jordan,Captains and the Kings,14,W
1977,Peter Strauss,"Rich Man, Poor Man",13,L
1977,Nick Nolte,"Rich Man, Poor Man",10,L
1977,Telly Savalas,Kojak,13,L
1977,Lee Majors,The Six Million Dollar Man,10,L
1977,Henry Winkler,Happy Days,13,W
1977,Hal Linden,Barney Miller,10,L
1977,Freddie Prinze,Chico and the Man,14,L
1977,Tony Randall,The Tony Randall Show,12,L
1977,Sammy Davis Jr.,Sammy and Company,15,L
1977,Michael Constantine,Sirota's Court,19,L
1977,Alan Alda,M*A*S*H,9,L
1977,Susan Blakely,"Rich Man, Poor Man",13,W
1977,Kate Jackson,Charlie's Angels,12,L
1977,Farrah Fawcett,Charlie's Angels,14,L
1977,Angie Dickinson,Police Woman,15,L
1977,Jean Marsh,"Upstairs, Downstairs",10,L
1977,Sada Thompson,Family,13,L
1977,Lindsay Wagner,The Bionic Woman,14,L
1977,Carol Burnett,The Carol Burnett Show,13,W
1977,Bernadette Peters,All's Fair,17,L
1977,Isabel Sanford,The Jeffersons,14,L
1977,Mary Tyler Moore,Mary Tyler Moore,16,L
1977,Dinah Shore,Dinah!,11,L
1978,Edward Asner,Lou Grant,12,W
1978,James Garner,The Rockford Files,12,L
